# Selection   : all
# Cells       : 400
# Volume      : 1.000000e+00
# Time        	max(p)
0             	0.000000e+00
1             	3.981702e-01
2             	5.671747e-01
3             	6.293681e-01
4             	6.652537e-01
5             	6.895949e-01
6             	7.046515e-01
7             	7.135137e-01
8             	7.190564e-01
9             	7.228263e-01
10            	7.255294e-01
11            	7.275511e-01
12            	7.291079e-01
13            	7.303370e-01
14            	7.313202e-01
15            	7.321155e-01
16            	7.327629e-01
17            	7.332924e-01
18            	7.337259e-01
19            	7.340820e-01
20            	7.343754e-01
21            	7.346176e-01
22            	7.348188e-01
23            	7.349861e-01
24            	7.351257e-01
25            	7.352428e-01
26            	7.353413e-01
27            	7.354244e-01
28            	7.354948e-01
29            	7.355546e-01
30            	7.356055e-01
31            	7.356490e-01
32            	7.356862e-01
33            	7.357180e-01
34            	7.357453e-01
35            	7.357687e-01
36            	7.357888e-01
37            	7.358061e-01
38            	7.358210e-01
39            	7.358338e-01
40            	7.358448e-01
41            	7.358543e-01
42            	7.358624e-01
43            	7.358694e-01
44            	7.358755e-01
45            	7.358807e-01
46            	7.358910e-01
47            	7.358887e-01
48            	7.358965e-01
49            	7.358953e-01
50            	7.359009e-01
