# Selection   : all
# Cells       : 400
# Volume      : 1.000000e+00
# Time        	maxMag(U)
0             	0.000000e+00
1             	5.627274e-01
2             	7.164949e-01
3             	7.636496e-01
4             	7.880133e-01
5             	8.029945e-01
6             	8.127232e-01
7             	8.193097e-01
8             	8.238508e-01
9             	8.270504e-01
10            	8.293422e-01
11            	8.310089e-01
12            	8.322421e-01
13            	8.331717e-01
14            	8.338854e-01
15            	8.344432e-01
16            	8.348867e-01
17            	8.352450e-01
18            	8.355386e-01
19            	8.357819e-01
20            	8.359854e-01
21            	8.361569e-01
22            	8.363025e-01
23            	8.364264e-01
24            	8.365322e-01
25            	8.366228e-01
26            	8.367004e-01
27            	8.367671e-01
28            	8.368244e-01
29            	8.368737e-01
30            	8.369160e-01
31            	8.369526e-01
32            	8.369841e-01
33            	8.370112e-01
34            	8.370346e-01
35            	8.370549e-01
36            	8.370723e-01
37            	8.370873e-01
38            	8.371003e-01
39            	8.371114e-01
40            	8.371211e-01
41            	8.371294e-01
42            	8.371366e-01
43            	8.371428e-01
44            	8.371481e-01
45            	8.371526e-01
46            	8.371566e-01
47            	8.371601e-01
48            	8.371629e-01
49            	8.371655e-01
50            	8.371677e-01
