# Selection   : all
# Cells       : 400
# Volume      : 1.000000e+00
# Time        	min(p)
0             	0.000000e+00
0.01          	-5.971512e-01
0.02          	-7.293678e-01
0.03          	-7.291933e-01
0.04          	-7.056371e-01
0.05          	-6.818692e-01
0.06          	-6.616879e-01
0.07          	-6.446230e-01
0.08          	-6.296574e-01
0.09          	-6.161113e-01
0.1           	-6.035685e-01
0.11          	-5.919433e-01
0.12          	-5.810793e-01
0.13          	-5.709011e-01
0.14          	-5.614067e-01
0.15          	-5.525555e-01
0.16          	-5.443069e-01
0.17          	-5.366285e-01
0.18          	-5.294858e-01
0.19          	-5.228473e-01
0.2           	-5.167483e-01
0.21          	-5.108193e-01
0.22          	-5.054010e-01
0.23          	-5.004009e-01
0.24          	-4.957705e-01
0.25          	-4.914039e-01
0.26          	-4.872962e-01
0.27          	-4.834467e-01
0.28          	-4.798395e-01
0.29          	-4.764572e-01
0.3           	-4.732775e-01
0.31          	-4.702855e-01
0.32          	-4.674671e-01
0.33          	-4.648098e-01
0.34          	-4.623011e-01
0.35          	-4.599060e-01
0.36          	-4.576525e-01
0.37          	-4.555206e-01
0.38          	-4.534955e-01
0.39          	-4.515671e-01
0.4           	-4.497264e-01
0.41          	-4.479641e-01
0.42          	-4.463956e-01
0.43          	-4.451443e-01
0.44          	-4.436894e-01
0.45          	-4.421985e-01
0.46          	-4.408948e-01
0.47          	-4.399837e-01
0.48          	-4.386064e-01
0.49          	-4.372682e-01
0.5           	-4.360581e-01
0.51          	-4.349227e-01
0.52          	-4.338573e-01
0.53          	-4.328251e-01
0.54          	-4.318631e-01
0.55          	-4.309280e-01
0.56          	-4.300224e-01
0.57          	-4.291480e-01
0.58          	-4.283058e-01
0.59          	-4.274963e-01
0.6           	-4.267146e-01
0.61          	-4.259572e-01
0.62          	-4.252016e-01
0.63          	-4.245474e-01
0.64          	-4.238758e-01
0.65          	-4.232189e-01
0.66          	-4.225832e-01
0.67          	-4.219689e-01
0.68          	-4.213753e-01
0.69          	-4.207993e-01
0.7           	-4.202483e-01
0.71          	-4.197161e-01
0.72          	-4.191872e-01
0.73          	-4.186787e-01
0.74          	-4.181902e-01
0.75          	-4.177180e-01
0.76          	-4.172593e-01
0.77          	-4.168139e-01
0.78          	-4.163871e-01
0.79          	-4.159771e-01
0.8           	-4.155326e-01
0.81          	-4.151322e-01
0.82          	-4.147490e-01
0.83          	-4.143767e-01
0.84          	-4.140126e-01
0.85          	-4.136623e-01
0.86          	-4.133192e-01
0.87          	-4.129872e-01
0.88          	-4.126614e-01
0.89          	-4.123262e-01
0.9           	-4.120082e-01
0.91          	-4.117104e-01
0.92          	-4.114270e-01
0.93          	-4.111439e-01
0.94          	-4.108658e-01
0.95          	-4.105940e-01
0.96          	-4.103289e-01
0.97          	-4.100706e-01
0.98          	-4.098189e-01
0.99          	-4.095734e-01
1             	-4.093342e-01
1.01          	-4.091009e-01
1.02          	-4.088733e-01
1.03          	-4.086511e-01
1.04          	-4.084337e-01
1.05          	-4.082247e-01
1.06          	-4.080190e-01
1.07          	-4.078179e-01
1.08          	-4.076218e-01
1.09          	-4.074308e-01
1.1           	-4.072452e-01
1.11          	-4.070674e-01
1.12          	-4.068892e-01
1.13          	-4.066976e-01
1.14          	-4.065254e-01
1.15          	-4.063609e-01
1.16          	-4.062004e-01
1.17          	-4.060428e-01
1.18          	-4.058850e-01
1.19          	-4.057376e-01
1.2           	-4.055894e-01
1.21          	-4.054422e-01
1.22          	-4.052898e-01
