# Selection   : all
# Cells       : 400
# Volume      : 1.000000e+00
# Time        	minMag(U)
0             	0.000000e+00
1             	1.232635e-04
2             	3.903089e-04
3             	2.381243e-04
4             	2.271410e-06
5             	1.009626e-04
6             	1.156465e-04
7             	1.069337e-04
8             	2.656026e-05
9             	2.023580e-05
10            	8.211473e-05
11            	1.397894e-04
12            	1.584393e-04
13            	1.674072e-04
14            	1.762159e-04
15            	1.847020e-04
16            	1.927499e-04
17            	1.972476e-04
18            	1.910818e-04
19            	1.659066e-04
20            	1.393557e-04
21            	1.164622e-04
22            	9.682732e-05
23            	8.011447e-05
24            	6.605311e-05
25            	5.445207e-05
26            	4.516157e-05
27            	3.811000e-05
28            	3.324575e-05
29            	3.041362e-05
30            	2.930491e-05
31            	2.946162e-05
32            	3.041671e-05
33            	3.179646e-05
34            	3.335709e-05
35            	3.493059e-05
36            	3.643739e-05
37            	3.783322e-05
38            	3.910007e-05
39            	4.023173e-05
40            	4.123564e-05
41            	4.212105e-05
42            	4.289804e-05
43            	4.357700e-05
44            	4.416504e-05
45            	4.468133e-05
46            	4.511915e-05
47            	4.550205e-05
48            	4.584327e-05
49            	4.612338e-05
50            	4.636831e-05
