#           y           U_x           U_y           U_z             p
            0             0             0             0    0.00847215
          0.1    -0.0306162     -0.012471             0     0.0073081
          0.2    -0.0630298     -0.042421             0    0.00620094
          0.3     -0.104104    -0.0881901             0    0.00436316
          0.4     -0.154941     -0.147404             0  -0.000880727
          0.5     -0.199107     -0.207962             0    -0.0133013
          0.6     -0.199609     -0.244489             0    -0.0335888
          0.7     -0.117022     -0.231718             0    -0.0514004
          0.8     0.0711257     -0.168373             0    -0.0472537
          0.9      0.402428    -0.0773225             0    -0.0149747
            1             1             0             0     0.0068073
