#           x           U_x           U_y           U_z             p
            0             0             0             0    -0.0136316
          0.1    -0.0218958      0.121307             0    -0.0159537
          0.2     -0.064272      0.163982             0    -0.0189214
          0.3     -0.110415      0.161089             0    -0.0231933
          0.4     -0.154355        0.1258             0    -0.0285615
          0.5     -0.192993     0.0580222             0    -0.0324417
          0.6     -0.219341    -0.0420393             0    -0.0307362
          0.7      -0.21766     -0.158292             0    -0.0206225
          0.8     -0.165528     -0.237531             0   -0.00615505
          0.9    -0.0651258       -0.1885             0  -0.000757633
            1             0             0             0   -0.00679854
