"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.0026754,1,0,0.5,0,1
-0.00068615,7.9943e-06,0,0.0026753,1,0.001,0.5,0.001,1
-0.0013723,1.5989e-05,0,0.0026751,1,0.002,0.5,0.002,1
-0.0020584,2.3983e-05,0,0.0026749,1,0.003,0.5,0.003,1
-0.0027446,3.1977e-05,0,0.0026747,1,0.004,0.5,0.004,1
-0.0034307,3.9972e-05,0,0.0026745,1,0.005,0.5,0.005,1
-0.0041169,4.7966e-05,0,0.0026743,1,0.006,0.5,0.006,1
-0.004803,5.596e-05,0,0.0026741,1,0.007,0.5,0.007,1
-0.0054892,6.3955e-05,0,0.0026739,1,0.008,0.5,0.008,1
-0.0061753,7.1949e-05,0,0.0026737,1,0.009,0.5,0.009,1
-0.0068615,7.9943e-05,0,0.0026735,1,0.01,0.5,0.01,1
-0.0075476,8.7938e-05,0,0.0026733,1,0.011,0.5,0.011,1
-0.0082338,9.5932e-05,0,0.0026731,1,0.012,0.5,0.012,1
-0.0089199,0.00010393,0,0.0026729,1,0.013,0.5,0.013,1
-0.0096061,0.00011192,0,0.0026727,1,0.014,0.5,0.014,1
-0.010292,0.00011992,0,0.0026725,1,0.015,0.5,0.015,1
-0.010978,0.00012791,0,0.0026723,1,0.016,0.5,0.016,1
-0.011665,0.0001359,0,0.0026722,1,0.017,0.5,0.017,1
-0.012351,0.0001439,0,0.002672,1,0.018,0.5,0.018,1
-0.013037,0.00015189,0,0.0026718,1,0.019,0.5,0.019,1
-0.013723,0.00015989,0,0.0026716,1,0.02,0.5,0.02,1
-0.014409,0.00016788,0,0.0026714,1,0.021,0.5,0.021,1
-0.015095,0.00017588,0,0.0026712,1,0.022,0.5,0.022,1
-0.015781,0.00018387,0,0.002671,1,0.023,0.5,0.023,1
-0.016468,0.00019186,0,0.0026708,1,0.024,0.5,0.024,1
-0.017154,0.00019986,0,0.0026706,1,0.025,0.5,0.025,1
-0.01784,0.00020785,0,0.0026704,1,0.026,0.5,0.026,1
-0.018526,0.00021585,0,0.0026702,1,0.027,0.5,0.027,1
-0.019212,0.00022384,0,0.00267,1,0.028,0.5,0.028,1
-0.019898,0.00023184,0,0.0026698,1,0.029,0.5,0.029,1
-0.020584,0.00023983,0,0.0026696,1,0.03,0.5,0.03,1
-0.021271,0.00024782,0,0.0026694,1,0.031,0.5,0.031,1
-0.021957,0.00025582,0,0.0026692,1,0.032,0.5,0.032,1
-0.022643,0.00026381,0,0.0026691,1,0.033,0.5,0.033,1
-0.023329,0.00027181,0,0.0026689,1,0.034,0.5,0.034,1
-0.024015,0.0002798,0,0.0026687,1,0.035,0.5,0.035,1
-0.024701,0.0002878,0,0.0026685,1,0.036,0.5,0.036,1
-0.025387,0.00029579,0,0.0026683,1,0.037,0.5,0.037,1
-0.026074,0.00030379,0,0.0026681,1,0.038,0.5,0.038,1
-0.02676,0.00031178,0,0.0026679,1,0.039,0.5,0.039,1
-0.027446,0.00031977,0,0.0026677,1,0.04,0.5,0.04,1
-0.028132,0.00032777,0,0.0026675,1,0.041,0.5,0.041,1
-0.028818,0.00033576,0,0.0026673,1,0.042,0.5,0.042,1
-0.029504,0.00034376,0,0.0026671,1,0.043,0.5,0.043,1
-0.03019,0.00035175,0,0.0026669,1,0.044,0.5,0.044,1
-0.030877,0.00035975,0,0.0026667,1,0.045,0.5,0.045,1
